Store_Code,Store,Store_Name,Address,City,State,Zip,Price_Zone,Price_Zone_Desc,Latitude,Longitude
239,RALEYS,ANTELOPE,7847 Lichen Drive,Citrus Heights,CA,95621,100,Red,38.708351,-121.312824
302,RALEYS,GALT VILLAGE,10430 Twin Cities Road,Galt,CA,95632,300,Green,38.29046,-121.419829
352,RALEYS,AISLE 1 FUEL STATION GALT,10430 Twin Cities Road,Galt,CA,95632,,,38.29108,-121.306449
405,RALEYS,FREEPORT,4850 Freeport Blvd.,Sacramento,CA,95822,300,Green,38.529825,-121.495616
409,RALEYS,FOLSOM,715 East Bidwell St.,Folsom,CA,95630,200,Yellow,38.671723,-121.160637
410,RALEYS,FOLSOM AT THE PARKWAY,25025 Blue Ravine Rd.,Folsom,CA,95630,300,Green,38.689865,-121.123855
416,RALEYS,MARCONI,3518 Marconi Avenue,Sacramento,CA,95821,100,Red,38.617789,-121.380891
417,RALEYS,SAN JUAN,4840 San Juan Ave.,Fair Oaks,CA,95628,300,Green,38.65395,-121.292093
420,RALEYS,COLLEGE GREENS,8391 Folsom Blvd.,Sacramento,CA,95826,300,Green,38.547283,-121.393219
421,RALEYS,MADISON & HAZEL,8870 Madison Ave.,Fair Oaks,CA,95628,200,Yellow,38.66391,-121.227764
431,RALEYS,CARMICHAEL,5159 Fair Oaks Blvd.,Carmichael,CA,95608,300,Green,38.597023,-121.344392
438,RALEYS,LAB MACK ROAD,4551 Mack Rd.,Sacramento,CA,95823,100,Red,38.474408,-121.449618
443,RALEYS,ELK GROVE-RALEY'S CENTER,4900 Elk Grove Blvd.,Elk Grove,CA,95758,300,Green,38.408617,-121.448321
447,RALEYS,NATOMAS,4650 Natomas Blvd.,Sacramento,CA,95835,200,Yellow,38.657444,-121.511952
450,RALEYS,AISLE 1 FUEL STATION-FLSM,25045 Blue Ravine Rd.,Folsom,CA,95630,,,38.690575,-121.123465
481,RALEYS,AISLE 1 FUEL-FAIROAKS,5345 Hazel Avenue,Fair Oaks,CA,95628,,,38.65565,-121.264311
501,BEL AIR,FRUITRIDGE RD.,6231 Fruitridge Road,Sacramento,CA,95820,200,Yellow,38.525078,-121.431716
502,BEL AIR,ARDEN & EASTERN,4320 Arden Way,Sacramento,CA,95864,300,Green,38.59556,-121.363397
506,BEL AIR,FLORIN RD.,1301 Florin Rd,Sacramento,CA,95831,100,Red,38.495669,-121.509756
510,BEL AIR,W. EL CAMINO,1540 West El Camino,Sacramento,CA,95833,200,Yellow,38.612785,-121.49653
511,BEL AIR,MANZANITA & CYPRESS,4005 Manzanita Avenue,Carmichael,CA,95608,300,Green,38.63711,-121.328114
514,BEL AIR,RUSH RIVER,7465 Rush River Drive,Sacramento,CA,95831,300,Green,38.486218,-121.536457
516,BEL AIR,LAGUNA,5100 Laguna Blvd.,Elk Grove,CA,95758,300,Green,38.42314,-121.445849
519,BEL AIR,WALERGA RD.,7901 Walerga Rd,Antelope,CA,95843,200,Yellow,38.69762,-121.363679
522,BEL AIR,GOLD RIVER,2155 Golden Centre Lane,Gold River,CA,95670,200,Yellow,38.624696,-121.264838
523,BEL AIR,CALVINE,8425 Elk Grove-Florin Rd. Elk Grove,Elk Grove,CA,95624,200,Yellow,38.451245,-121.371641
524,BEL AIR,BROADSTONE,2760 E. Bidwell,Folsom,CA,95630,200,Yellow,38.655027,-121.123636
525,BEL AIR,WATERMAN,9435 Elk Grove Blvd.,Elk Grove,CA,95624,300,Green,38.409162,-121.34415
528,BEL AIR,DUCKHORN & ARENA,3250 Arena Blvd.,Sacramento,CA,95834,200,Yellow,38.61125,-121.474879
578,BEL AIR,AISLE 1 FUEL STATION-NTMS,3250 Arena Blvd.,Sacramento,CA,95834,,,38.643009,-121.532456
702,FOOD SOURCE,MACK ROAD,6366 Mack Road,Sacramento,CA,95823,,,38.474167,-121.428291
703,FOOD SOURCE,BROADWAY,4401 Broadway,Sacramento,CA,95817,,,38.546787,-121.455378
704,FOOD SOURCE,BRADSHAW,3547 Bradshaw Road,Sacramento,CA,95827,,,38.558051,-121.336129
705,FOOD SOURCE,RIO LINDA,430 Elkhorn Blvd.,Rio Linda,CA,95673,,,38.683797,-121.455919
707,FOOD SOURCE,NORTH HIGHLANDS,7477 Watt Ave.,North Highlands,CA,95660,,,38.702312,-121.382837
